,YEAR,MONTH,MKT_UNIQUE_CARRIER,ORIGIN_CITY_NAME,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,CANCELLED
0,2020,1,WN,"Ontario, CA",1851.0,41.0,41.0,0
1,2020,1,WN,"Ontario, CA",1146.0,-4.0,0.0,0
2,2020,1,WN,"Ontario, CA",2016.0,-4.0,0.0,0
3,2020,1,WN,"Ontario, CA",1350.0,10.0,10.0,0
4,2020,1,WN,"Ontario, CA",916.0,1.0,1.0,0
5,2020,1,WN,"Ontario, CA",602.0,2.0,2.0,0
6,2020,1,WN,"Ontario, CA",1624.0,4.0,4.0,0
7,2020,1,WN,"Ontario, CA",1604.0,59.0,59.0,0
8,2020,1,WN,"Ontario, CA",1225.0,-5.0,0.0,0
9,2020,1,WN,"Ontario, CA",740.0,0.0,0.0,0
10,2020,1,WN,"Ontario, CA",1022.0,-3.0,0.0,0
11,2020,1,WN,"Ontario, CA",2035.0,-5.0,0.0,0
12,2020,1,WN,"Ontario, CA",2246.0,-4.0,0.0,0
13,2020,1,WN,"Ontario, CA",1815.0,5.0,5.0,0
14,2020,1,WN,"Norfolk, VA",1230.0,60.0,60.0,0
15,2020,1,WN,"Norfolk, VA",629.0,-1.0,0.0,0
16,2020,1,WN,"Norfolk, VA",2013.0,-7.0,0.0,0
17,2020,1,WN,"Norfolk, VA",1746.0,1.0,1.0,0
18,2020,1,WN,"Norfolk, VA",1045.0,-5.0,0.0,0
19,2020,1,WN,"Norfolk, VA",1649.0,-1.0,0.0,0
20,2020,1,WN,"West Palm Beach/Palm Beach, FL",1256.0,-4.0,0.0,0
21,2020,1,WN,"West Palm Beach/Palm Beach, FL",657.0,-3.0,0.0,0
22,2020,1,WN,"West Palm Beach/Palm Beach, FL",1751.0,1.0,1.0,0
23,2020,1,WN,"West Palm Beach/Palm Beach, FL",1055.0,-5.0,0.0,0
24,2020,1,WN,"West Palm Beach/Palm Beach, FL",1057.0,182.0,182.0,0
25,2020,1,WN,"West Palm Beach/Palm Beach, FL",1937.0,2.0,2.0,0
26,2020,1,WN,"Portland, OR",1854.0,-6.0,0.0,0
27,2020,1,WN,"Portland, OR",1138.0,8.0,8.0,0
28,2020,1,WN,"Portland, OR",926.0,1.0,1.0,0
29,2020,1,WN,"Portland, OR",1338.0,28.0,28.0,0
30,2020,1,WN,"Portland, OR",1514.0,-1.0,0.0,0
31,2020,1,WN,"Portland, OR",2000.0,0.0,0.0,0
32,2020,1,WN,"Portland, OR",616.0,1.0,1.0,0
33,2020,1,WN,"Portland, OR",1517.0,37.0,37.0,0
34,2020,1,WN,"Portland, OR",1024.0,9.0,9.0,0
35,2020,1,WN,"Portland, OR",,,,1
36,2020,1,WN,"Portland, OR",1859.0,24.0,24.0,0
37,2020,1,WN,"Portland, OR",616.0,11.0,11.0,0
38,2020,1,WN,"Portland, OR",543.0,-2.0,0.0,0
39,2020,1,WN,"Portland, OR",1505.0,25.0,25.0,0
40,2020,1,WN,"Portland, OR",757.0,-3.0,0.0,0
41,2020,1,WN,"Portland, OR",1652.0,2.0,2.0,0
42,2020,1,WN,"Portland, OR",2023.0,-2.0,0.0,0
43,2020,1,WN,"Portland, OR",1227.0,22.0,22.0,0
44,2020,1,WN,"Portland, OR",1124.0,14.0,14.0,0
45,2020,1,WN,"Portland, OR",1041.0,-4.0,0.0,0
46,2020,1,WN,"Portland, OR",604.0,-1.0,0.0,0
47,2020,1,WN,"Portland, OR",2117.0,32.0,32.0,0
48,2020,1,WN,"Portland, OR",1324.0,4.0,4.0,0
49,2020,1,WN,"Portland, OR",1313.0,-2.0,0.0,0
50,2020,1,WN,"Portland, OR",1817.0,7.0,7.0,0
51,2020,1,WN,"Portland, OR",720.0,0.0,0.0,0
52,2020,1,WN,"Portland, OR",925.0,-5.0,0.0,0
53,2020,1,WN,"Portland, OR",842.0,-3.0,0.0,0
54,2020,1,WN,"Portland, OR",2035.0,30.0,30.0,0
55,2020,1,WN,"Portland, OR",1744.0,4.0,4.0,0
56,2020,1,WN,"Portland, OR",630.0,-5.0,0.0,0
57,2020,1,WN,"Portland, OR",1327.0,17.0,17.0,0
58,2020,1,WN,"Portland, OR",936.0,-4.0,0.0,0
59,2020,1,WN,"Philadelphia, PA",711.0,1.0,1.0,0
60,2020,1,WN,"Philadelphia, PA",1619.0,-1.0,0.0,0
61,2020,1,WN,"Philadelphia, PA",1704.0,-6.0,0.0,0
62,2020,1,WN,"Philadelphia, PA",1321.0,51.0,51.0,0
63,2020,1,WN,"Philadelphia, PA",538.0,-2.0,0.0,0
64,2020,1,WN,"Philadelphia, PA",1651.0,-4.0,0.0,0
65,2020,1,WN,"Philadelphia, PA",1219.0,4.0,4.0,0
66,2020,1,WN,"Philadelphia, PA",1831.0,1.0,1.0,0
67,2020,1,WN,"Philadelphia, PA",636.0,1.0,1.0,0
68,2020,1,WN,"Philadelphia, PA",1043.0,-2.0,0.0,0
69,2020,1,WN,"Philadelphia, PA",605.0,0.0,0.0,0
70,2020,1,WN,"Philadelphia, PA",2141.0,11.0,11.0,0
71,2020,1,WN,"Philadelphia, PA",1939.0,24.0,24.0,0
72,2020,1,WN,"Philadelphia, PA",1143.0,-2.0,0.0,0
73,2020,1,WN,"Philadelphia, PA",658.0,-2.0,0.0,0
74,2020,1,WN,"Philadelphia, PA",1338.0,-2.0,0.0,0
75,2020,1,WN,"Philadelphia, PA",1755.0,10.0,10.0,0
76,2020,1,WN,"Philadelphia, PA",2010.0,-5.0,0.0,0
77,2020,1,WN,"Philadelphia, PA",926.0,-4.0,0.0,0
78,2020,1,WN,"Philadelphia, PA",1651.0,1.0,1.0,0
79,2020,1,WN,"Philadelphia, PA",1115.0,0.0,0.0,0
80,2020,1,WN,"Philadelphia, PA",759.0,-1.0,0.0,0
81,2020,1,WN,"Philadelphia, PA",1845.0,-5.0,0.0,0
82,2020,1,WN,"Philadelphia, PA",1241.0,6.0,6.0,0
83,2020,1,WN,"Phoenix, AZ",1820.0,5.0,5.0,0
84,2020,1,WN,"Phoenix, AZ",2108.0,-2.0,0.0,0
85,2020,1,WN,"Phoenix, AZ",1619.0,4.0,4.0,0
86,2020,1,WN,"Phoenix, AZ",1415.0,0.0,0.0,0
87,2020,1,WN,"Phoenix, AZ",1009.0,24.0,24.0,0
88,2020,1,WN,"Phoenix, AZ",807.0,-8.0,0.0,0
89,2020,1,WN,"Phoenix, AZ",558.0,-2.0,0.0,0
90,2020,1,WN,"Phoenix, AZ",1540.0,25.0,25.0,0
91,2020,1,WN,"Phoenix, AZ",755.0,-5.0,0.0,0
92,2020,1,WN,"Phoenix, AZ",1222.0,12.0,12.0,0
93,2020,1,WN,"Phoenix, AZ",1447.0,-3.0,0.0,0
94,2020,1,WN,"Phoenix, AZ",2137.0,2.0,2.0,0
95,2020,1,WN,"Phoenix, AZ",1657.0,-3.0,0.0,0
96,2020,1,WN,"Phoenix, AZ",659.0,-1.0,0.0,0
97,2020,1,WN,"Phoenix, AZ",946.0,11.0,11.0,0
98,2020,1,WN,"Phoenix, AZ",1934.0,4.0,4.0,0
99,2020,1,WN,"Phoenix, AZ",1524.0,4.0,4.0,0
100,2020,1,WN,"Phoenix, AZ",1506.0,-4.0,0.0,0
101,2020,1,WN,"Phoenix, AZ",1831.0,-4.0,0.0,0
102,2020,1,WN,"Phoenix, AZ",1014.0,9.0,9.0,0
103,2020,1,WN,"Phoenix, AZ",2131.0,11.0,11.0,0
104,2020,1,WN,"Phoenix, AZ",1457.0,7.0,7.0,0
105,2020,1,WN,"Phoenix, AZ",754.0,-6.0,0.0,0
106,2020,1,WN,"Phoenix, AZ",1704.0,-1.0,0.0,0
107,2020,1,WN,"Phoenix, AZ",1828.0,-2.0,0.0,0
108,2020,1,WN,"Phoenix, AZ",1212.0,-3.0,0.0,0
109,2020,1,WN,"Phoenix, AZ",833.0,3.0,3.0,0
110,2020,1,WN,"Phoenix, AZ",1853.0,8.0,8.0,0
111,2020,1,WN,"Phoenix, AZ",1311.0,6.0,6.0,0
112,2020,1,WN,"Phoenix, AZ",1026.0,1.0,1.0,0
113,2020,1,WN,"Phoenix, AZ",750.0,-5.0,0.0,0
114,2020,1,WN,"Phoenix, AZ",1612.0,-3.0,0.0,0
115,2020,1,WN,"Phoenix, AZ",1120.0,-5.0,0.0,0
116,2020,1,WN,"Phoenix, AZ",1420.0,-5.0,0.0,0
117,2020,1,WN,"Phoenix, AZ",930.0,10.0,10.0,0
118,2020,1,WN,"Phoenix, AZ",2347.0,57.0,57.0,0
119,2020,1,WN,"Phoenix, AZ",1832.0,-3.0,0.0,0
120,2020,1,WN,"Phoenix, AZ",1941.0,-4.0,0.0,0
121,2020,1,WN,"Phoenix, AZ",658.0,-2.0,0.0,0
122,2020,1,WN,"Phoenix, AZ",816.0,-4.0,0.0,0
123,2020,1,WN,"Phoenix, AZ",1318.0,-2.0,0.0,0
124,2020,1,WN,"Phoenix, AZ",949.0,-1.0,0.0,0
125,2020,1,WN,"Phoenix, AZ",1042.0,2.0,2.0,0
126,2020,1,WN,"Phoenix, AZ",1711.0,11.0,11.0,0
127,2020,1,WN,"Phoenix, AZ",2216.0,21.0,21.0,0
128,2020,1,WN,"Phoenix, AZ",1119.0,-1.0,0.0,0
129,2020,1,WN,"Phoenix, AZ",2103.0,-2.0,0.0,0
130,2020,1,WN,"Phoenix, AZ",1537.0,-3.0,0.0,0
131,2020,1,WN,"Phoenix, AZ",1146.0,6.0,6.0,0
132,2020,1,WN,"Phoenix, AZ",1339.0,24.0,24.0,0
133,2020,1,WN,"Phoenix, AZ",605.0,-5.0,0.0,0
134,2020,1,WN,"Phoenix, AZ",1746.0,11.0,11.0,0
135,2020,1,WN,"Phoenix, AZ",1010.0,0.0,0.0,0
136,2020,1,WN,"Phoenix, AZ",2016.0,6.0,6.0,0
137,2020,1,WN,"Phoenix, AZ",1348.0,-2.0,0.0,0
138,2020,1,WN,"Phoenix, AZ",1127.0,-3.0,0.0,0
139,2020,1,WN,"Phoenix, AZ",1951.0,1.0,1.0,0
140,2020,1,WN,"Phoenix, AZ",1031.0,1.0,1.0,0
141,2020,1,WN,"Phoenix, AZ",2044.0,24.0,24.0,0
142,2020,1,WN,"Phoenix, AZ",1705.0,10.0,10.0,0
143,2020,1,WN,"Phoenix, AZ",2006.0,56.0,56.0,0
144,2020,1,WN,"Phoenix, AZ",2228.0,-2.0,0.0,0
145,2020,1,WN,"Phoenix, AZ",857.0,-3.0,0.0,0
146,2020,1,WN,"Phoenix, AZ",1203.0,-2.0,0.0,0
147,2020,1,WN,"Phoenix, AZ",1448.0,-2.0,0.0,0
148,2020,1,WN,"Phoenix, AZ",1051.0,-4.0,0.0,0
149,2020,1,WN,"Phoenix, AZ",2305.0,10.0,10.0,0
150,2020,1,WN,"Phoenix, AZ",1731.0,26.0,26.0,0
151,2020,1,WN,"Phoenix, AZ",1329.0,-6.0,0.0,0
152,2020,1,WN,"Phoenix, AZ",1854.0,-1.0,0.0,0
153,2020,1,WN,"Phoenix, AZ",1010.0,10.0,10.0,0
154,2020,1,WN,"Phoenix, AZ",1547.0,2.0,2.0,0
155,2020,1,WN,"Phoenix, AZ",1320.0,0.0,0.0,0
156,2020,1,WN,"Phoenix, AZ",942.0,2.0,2.0,0
157,2020,1,WN,"Phoenix, AZ",620.0,0.0,0.0,0
158,2020,1,WN,"Phoenix, AZ",1846.0,1.0,1.0,0
159,2020,1,WN,"Phoenix, AZ",1027.0,2.0,2.0,0
160,2020,1,WN,"Phoenix, AZ",2051.0,126.0,126.0,0
161,2020,1,WN,"Phoenix, AZ",542.0,2.0,2.0,0
162,2020,1,WN,"Phoenix, AZ",1203.0,-2.0,0.0,0
163,2020,1,WN,"Phoenix, AZ",1506.0,26.0,26.0,0
164,2020,1,WN,"Phoenix, AZ",927.0,-3.0,0.0,0
165,2020,1,WN,"Phoenix, AZ",2001.0,-4.0,0.0,0
166,2020,1,WN,"Phoenix, AZ",1038.0,-2.0,0.0,0
167,2020,1,WN,"Phoenix, AZ",1909.0,-1.0,0.0,0
168,2020,1,WN,"Phoenix, AZ",1257.0,-3.0,0.0,0
169,2020,1,WN,"Phoenix, AZ",1020.0,0.0,0.0,0
170,2020,1,WN,"Phoenix, AZ",1939.0,-1.0,0.0,0
171,2020,1,WN,"Phoenix, AZ",641.0,-4.0,0.0,0
172,2020,1,WN,"Phoenix, AZ",1309.0,-1.0,0.0,0
173,2020,1,WN,"Phoenix, AZ",933.0,18.0,18.0,0
174,2020,1,WN,"Phoenix, AZ",2102.0,2.0,2.0,0
175,2020,1,WN,"Phoenix, AZ",1621.0,36.0,36.0,0
176,2020,1,WN,"Phoenix, AZ",1100.0,-5.0,0.0,0
177,2020,1,WN,"Phoenix, AZ",1837.0,-3.0,0.0,0
178,2020,1,WN,"Phoenix, AZ",1509.0,9.0,9.0,0
179,2020,1,WN,"Phoenix, AZ",1027.0,2.0,2.0,0
180,2020,1,WN,"Phoenix, AZ",1504.0,44.0,44.0,0
181,2020,1,WN,"Phoenix, AZ",2134.0,19.0,19.0,0
182,2020,1,WN,"Phoenix, AZ",949.0,-1.0,0.0,0
183,2020,1,WN,"Phoenix, AZ",830.0,0.0,0.0,0
184,2020,1,WN,"Phoenix, AZ",1626.0,-4.0,0.0,0
185,2020,1,WN,"Phoenix, AZ",1952.0,62.0,62.0,0
186,2020,1,WN,"Phoenix, AZ",2112.0,12.0,12.0,0
187,2020,1,WN,"Phoenix, AZ",1234.0,-1.0,0.0,0
188,2020,1,WN,"Phoenix, AZ",810.0,0.0,0.0,0
189,2020,1,WN,"Phoenix, AZ",1024.0,4.0,4.0,0
190,2020,1,WN,"Phoenix, AZ",1023.0,3.0,3.0,0
191,2020,1,WN,"Phoenix, AZ",1031.0,11.0,11.0,0
192,2020,1,WN,"Phoenix, AZ",2103.0,-7.0,0.0,0
193,2020,1,WN,"Phoenix, AZ",1313.0,13.0,13.0,0
194,2020,1,WN,"Phoenix, AZ",1813.0,-2.0,0.0,0
195,2020,1,WN,"Phoenix, AZ",2253.0,-2.0,0.0,0
196,2020,1,WN,"Phoenix, AZ",1611.0,-4.0,0.0,0
197,2020,1,WN,"Phoenix, AZ",1440.0,0.0,0.0,0
198,2020,1,WN,"Phoenix, AZ",2038.0,8.0,8.0,0
199,2020,1,WN,"Phoenix, AZ",645.0,-5.0,0.0,0
